1425226997	1606	2003
1425227371	2804	5799
1425227446	13088	1755
1425227616	1587	9319
1425227815	1736	13657
1425227939	1640	2988
1425228042	1720	1720
1425228158	3819	5711
1425228823	2280	2280
1425228970	1785	5052
1425229122	2081	2081
1425229249	16160	2765
1425229368	7004	7004
1425229633	1464	2194
1425229861	1445	10006
1425229905	2925	8972
1425230241	1617	1617
1425230374	2085	7102
1425230416	3270	12760
1425230667	2216	24880
1425230884	3643	3643
1425231019	2886	14960
1425231139	2237	2237
1425231511	2041	8693
1425231789	2104	9721
1425232154	1494	1494
1425232314	2106	2751
1425232541	1648	1648
1425232749	2828	2828
1425233096	3222	3222
1425233165	3157	18408
1425233196	2177	12464
1425233427	1744	3600
1425233579	1600	3211
1425233718	3265	21242
1425233939	1900	1900
1425234208	1846	1846
1425234326	2329	2467
1425234729	2014	5233
1425234974	2001	2001
1425235335	3210	3210
1425235471	2052	10585
1425235846	3168	13626
1425235899	2314	11102
1425235982	2128	2128
1425236120	1211	1354
1425236789	3901	13311
1425237033	1887	4793
1425237677	2562	2562
1425237838	3300	4980
1425237901	2030	2030
1425238554	1353	8498
1425238687	16889	1587
1425238928	2000	2000
1425238968	5196	11655
1425239065	2429	3886
1425239224	1118	6482
1425239340	1842	7345
1425239850	4097	4097
1425239897	3180	3180
1425240102	2868	7942
1425240644	25163	1514
1425240814	1559	1559
1425241057	1579	1579
1425241286	1991	1991
1425241418	1667	6380
1425241585	10928	11870
1425241887	2748	2748
1425241986	2185	4976
1425242264	1771	1771
1425242381	1857	5928
1425242505	1579	1579
1425242621	1861	8995
1425242888	1928	6699
1425243446	1651	22646
1425243591	3012	17393
1425243663	1813	2557
1425243789	2188	2188
1425243928	1707	2150
1425244230	5411	5411
1425244318	1922	1922
1425244365	4873	4873
1425244588	3203	3203
1425244892	4750	7375
1425244983	1278	8497
1425245113	1955	4109
1425245773	1608	1608
1425246326	5089	8293
1425246478	4036	12665
1425246596	2192	3366
1425247097	2045	7143
1425247621	1917	1917
1425247781	2523	21523
1425247910	1932	1932
1425248149	1648	1648
1425248424	2970	2970
1425248536	2069	2959
1425248579	4376	15073
